SURVEY_ID,SURVEY_SPECIES_ID,SPECIES_ID,SPECIES_RUN_ID,RUN_NUMBER,LW_MEASURED_TOTAL,BANDED_MEASURED_TOTAL,BULK_MEASURED_TOTAL,FISH_COUNT
29322,99127,242,94882,1,0,,26,26
29322,99127,242,94883,2,0,,11,11
29322,99121,153,94870,1,24,,,24
29322,99121,153,94871,2,6,,,6
29322,99123,194,94874,1,307,,,307
29322,99123,194,94875,2,95,,,95
29322,99126,213,94880,1,9,,,9
29322,99126,213,94881,2,4,,,4
29322,99120,152,94868,1,27,,,27
29322,99120,152,94869,2,10,,,10
29322,99122,193,94872,1,8,,,8
29322,99122,193,94873,2,2,,,2
29322,99124,199,94876,1,13,,,13
29322,99124,199,94877,2,5,,,5
29322,99125,211,94878,1,10,,,10
29322,99125,211,94879,2,22,,,22
29322,99128,285,94884,1,2,,,2
29322,99128,285,103652,2,0,,,0
29322,99129,286,94885,1,2,,,2
29322,99129,286,103653,2,0,,,0
29324,99142,193,94907,1,37,,,37
29324,99142,193,103657,2,0,,,0
29324,99145,284,103658,1,0,,,0
29324,99145,284,94912,2,1,,,1
29324,99144,213,94910,1,15,,,15
29324,99144,213,94911,2,1,,,1
29324,99141,153,94905,1,18,,,18
29324,99141,153,94906,2,1,,,1
29324,99143,194,94908,1,9,,,9
29324,99143,194,94909,2,1,,,1
29324,99140,152,94903,1,28,,,28
29324,99140,152,94904,2,2,,,2
29336,99211,194,95019,1,409,,6335,6744
29336,99211,194,95020,2,542,,363,905
29336,99214,211,95024,1,154,,369,523
29336,99214,211,95025,2,78,,,78
29336,99216,242,95028,1,0,,20,20
29336,99216,242,95029,2,0,,5,5
29336,99217,403,95030,1,55,,40,95
29336,99217,403,95031,2,17,,,17
29336,99212,199,95021,1,6,,,6
29336,99212,199,95022,2,2,,,2
29336,99210,193,95017,1,1,,,1
29336,99210,193,95018,2,2,,,2
29336,99218,478,95032,1,3,,,3
29336,99218,478,103679,2,0,,,0
29336,99213,201,95023,1,2,,,2
29336,99213,201,103678,2,0,,,0
29336,99215,213,95026,1,6,,,6
29336,99215,213,95027,2,6,,,6
29336,99208,153,95013,1,35,,,35
29336,99208,153,95014,2,9,,,9
29336,99209,182,95015,1,35,,,35
29336,99209,182,95016,2,9,,,9
29376,99561,152,95587,1,25,,54,79
29376,99561,152,95588,2,25,,,25
29376,99563,182,95590,1,56,,119,175
29376,99563,182,95591,2,2,,,2
29376,99564,194,95592,1,784,,3808,4592
29376,99564,194,95593,2,178,,,178
29376,99565,199,95594,1,128,,277,405
29376,99565,199,95595,2,10,,,10
29376,99569,242,95600,1,0,,1,1
29376,99569,242,103766,2,0,,,0
29376,99570,478,95601,1,11,,24,35
29376,99570,478,95602,2,1,,,1
29376,99562,153,103763,1,0,,,0
29376,99562,153,95589,2,1,,,1
29376,99568,213,103765,1,0,,,0
29376,99568,213,95599,2,2,,,2
29376,99567,211,95597,1,14,,,14
29376,99567,211,95598,2,4,,,4
29376,99566,201,95596,1,1,,,1
29376,99566,201,103764,2,0,,,0
29386,99691,194,95792,1,509,,7174,7683
29386,99689,182,95790,1,40,,,40
29386,99690,193,95791,1,5,,,5
29386,99697,478,95798,1,11,,,11
29386,99687,152,95788,1,8,,,8
29386,99695,213,95796,1,17,,,17
29386,99696,403,95797,1,6,,,6
29386,99692,198,95793,1,8,,,8
29386,99694,211,95795,1,32,,,32
29386,99693,199,95794,1,73,,,73
29386,99688,153,95789,1,19,,,19
118790,451501,283,591764,1,0,1,,1
118790,451501,283,591765,2,0,1,,1
118790,451502,181,591766,1,0,262,,262
118790,451502,181,591767,2,0,98,,98
118790,451503,152,591768,1,0,7,,7
